Module	Section	Sample Name	Source
FastQC	all_sections	21_ACAGTG_L002_R2_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/21_ACAGTG_L002_R2_combined_fastqc.zip
FastQC	all_sections	25_GATCAG_L002_R1_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/25_GATCAG_L002_R1_combined_fastqc.zip
FastQC	all_sections	25_GATCAG_L002_R2_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/25_GATCAG_L002_R2_combined_fastqc.zip
FastQC	all_sections	29_AGTCAA_L002_R1_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/29_AGTCAA_L002_R1_combined_fastqc.zip
FastQC	all_sections	29_AGTCAA_L002_R2_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/29_AGTCAA_L002_R2_combined_fastqc.zip
FastQC	all_sections	33_GTCCGC_L002_R1_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/33_GTCCGC_L002_R1_combined_fastqc.zip
FastQC	all_sections	33_GTCCGC_L002_R2_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/33_GTCCGC_L002_R2_combined_fastqc.zip
FastQC	all_sections	37_CGTACG_L002_R1_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/37_CGTACG_L002_R1_combined_fastqc.zip
FastQC	all_sections	37_CGTACG_L002_R2_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/37_CGTACG_L002_R2_combined_fastqc.zip
FastQC	all_sections	41_GTCCGC_L001_R1_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/41_GTCCGC_L001_R1_combined_fastqc.zip
FastQC	all_sections	41_GTCCGC_L001_R2_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/41_GTCCGC_L001_R2_combined_fastqc.zip
FastQC	all_sections	45_CGTACG_L001_R1_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/45_CGTACG_L001_R1_combined_fastqc.zip
FastQC	all_sections	45_CGTACG_L001_R2_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/45_CGTACG_L001_R2_combined_fastqc.zip
FastQC	all_sections	5_ACAGTG_L001_R1_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/5_ACAGTG_L001_R1_combined_fastqc.zip
FastQC	all_sections	5_ACAGTG_L001_R2_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/5_ACAGTG_L001_R2_combined_fastqc.zip
FastQC	all_sections	9_GATCAG_L001_R1_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/9_GATCAG_L001_R1_combined_fastqc.zip
FastQC	all_sections	9_GATCAG_L001_R2_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/9_GATCAG_L001_R2_combined_fastqc.zip
